ID	Feature / Journey	Scenario Group	iOS Sim	iOS Real (B_S)	Android Emu	Android Real(B_S)	Level	Priority	Status	Notes
AB-USD-1.1	Beneficiary	Open Pay tab	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.2	Beneficiary	Tap New Transfer / Add button	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.3	Beneficiary	Tap Add Beneficiary	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.4	Beneficiary	Select beneficiary type	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.5	Beneficiary	Select country for SWIFT payment	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.6	Beneficiary	Select USD wallet / currency	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.7	Beneficiary	Enter beneficiary name	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.8	Beneficiary	Enter account number	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.9	Beneficiary	Enter BIC/SWIFT code and continue	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.10	Beneficiary	Enter beneficiary address and continue	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
AB-USD-1.11	Beneficiary	Confirm OTP and verify beneficiary created successfully	N/A	N/A	A	A	E2E	P0	Automated	Secondary; regression only; ./src/tests/addbeneficiary.individual.usd.steps.spec.ts
PD-1.1	Personal Details	Wait for Home	A	A	A	A	UI	P1	Automated	Secondary; regression only; ./src/tests/personalDetails.spec.ts
PD-1.2	Personal Details	Navigate More → Settings → Personal Details	A	A	A	A	UI	P1	Automated	Secondary; regression only; ./src/tests/personalDetails.spec.ts
PD-1.3	Personal Details	Personal Details screen is visible (TC1535)	A	A	A	A	UI	P1	Automated	Secondary; regression only; ./src/tests/personalDetails.spec.ts
PD-1.4	Personal Details	First name field is displayed (TC1536)	A	A	A	A	UI	P1	Automated	Secondary; regression only; ./src/tests/personalDetails.spec.ts
PD-1.5	Personal Details	Last name field is displayed (TC1537)	A	A	A	A	UI	P1	Automated	Secondary; regression only; ./src/tests/personalDetails.spec.ts
