--------- beginning of main
04-13 17:14:25.520 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":""}
04-13 17:14:25.524 13971 14004 I appium  : channel read: POST /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element
04-13 17:14:25.524 13971 14004 I appium  : FindElement command
04-13 17:14:25.525 13971 14004 I appium  : method: 'xpath', selector: '//*[contains(@text,"Bmw")]'
04-13 17:14:25.525 13971 14004 I appium  : Waiting up to 10000ms for the device to idle
04-13 17:14:25.526 13971 14004 I appium  : The following attributes will be included to the page source: [text]
04-13 17:14:25.570 13971 14004 I appium  : Took 0ms to retrieve 0 matches for '//*[contains(@text,"Bmw")]' XPath2 query
04-13 17:14:25.571 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":{"error":"no such element","message":"An element could not be located on the page using the given search parameters","stacktrace":"io.appium.uiautomator2.common.exceptions.ElementNotFoundException: An element could not be located on the page using the given search parameters\n\tat io.appium.uiautomator2.utils.ElementLocationHelpers.findElement(ElementLocationHelpers.java:153)\n\tat io.appium.uiautomator2.handler.FindElement.safeHandle(FindElement.java:60)\n\tat io.appium.uiautomator2.handler.request.SafeRequestHandler.handle(SafeRequestHandler.java:59)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleRequest(AppiumServlet.java:267)\n\tat io.appium.uiautomator2.server.AppiumServlet.handleHttpRequest(AppiumServlet.java:261)\n\tat io.appium.uiautomator2.http.ServerHandler.channelRead(ServerHandler.java:77)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:356)\n\tat io.netty.handler.codec.MessageToMessageDecoder.channelRead(MessageToMessageDecoder.java:107)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:356)\n\tat io.netty.channel.CombinedChannelDuplexHandler$DelegatingChannelHandlerContext.fireChannelRead(CombinedChannelDuplexHandler.java:434)\n\tat io.netty.handler.codec.ByteToMessageDecoder.fireChannelRead(ByteToMessageDecoder.java:361)\n\tat io.netty.handler.codec.ByteToMessageDecoder.channelRead(ByteToMessageDecoder.java:325)\n\tat io.netty.channel.CombinedChannelDuplexHandler.channelRead(CombinedChannelDuplexHandler.java:249)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:354)\n\tat io.netty.handler.timeout.IdleStateHandler.channelRead(IdleStateHandler.java:293)\n\tat io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:354)\n\tat io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1429)\n\tat io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:918)\n\tat io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:172)\n\tat io.netty.channel.nio.AbstractNioChannel$AbstractNioUnsafe.handle(AbstractNioChannel.java:445)\n\tat io.netty.channel.nio.NioIoHandler$DefaultNioRegistration.handle(NioIoHandler.java:388)\n\tat io.netty.channel.nio.NioIoHandler.processSelectedKey(NioIoHandler.java:596)\n\tat io.netty.channel.nio.NioIoHandler.processSelectedKeysOptimized(NioIoHandler.java:571)\n\tat io.netty.channel.nio.NioIoHandler.processSelectedKeys(NioIoHandler.java:512)\n\tat io.netty.channel.nio.NioIoHandler.run(NioIoHandler.java:484)\n\tat io.netty.channel.SingleThreadIoEventLoop.runIo(SingleThreadIoEventLoop.java:225)\n\tat io.netty.channel.SingleThreadIoEventLoop.run(SingleThreadIoEventLoop.java:196)\n\tat io.netty.util.concurrent.SingleThreadEventExecutor$5.run(SingleThreadEventExecutor.java:1195)\n\tat io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)\n\tat io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)\n\tat java.lang.Thread.run(Thread.java:1012)\n"}}
04-13 17:14:25.575 13971 14004 I appium  : channel read: POST /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/elements
04-13 17:14:25.575 13971 14004 I appium  : FindElements command
04-13 17:14:25.576 13971 14004 I appium  : method: 'class name', selector: 'android.view.View'
04-13 17:14:25.577 13971 14004 I appium  : Waiting up to 10000ms for the device to idle
04-13 17:14:25.596 13971 14004 I appium  : Caching 24 found elements
04-13 17:14:25.600 13971 14004 I appium  : Cached 24 elements
04-13 17:14:25.601 13971 14004 I appium  : AppiumResponse: {"sessionId":"071d7a88-c203-4118-9bf4-52866cd1f9ab","value":[{"ELEMENT":"00000000-0000-009a-0000-00f2000000f0","element-6066-11e4-a52e-4f735466cecf":"00000000-0000-009a-0000-00f2000000f0"},{"ELEMENT":"00000000-0000-009a-ffff-ffff000000f0","element-6066-11e4-a52e-4f735466cecf":"00000000-0000-009a-fff…
04-13 17:14:25.605 13971 14004 I appium  : channel read: POST /session/071d7a88-c203-4118-9bf4-52866cd1f9ab/element
04-13 17:14:25.606 13971 14004 I appium  : FindElement command
04-13 17:14:25.606 13971 14004 I appium  : method: 'xpath', selector: '//*[contains(@text,"BMW")]'
04-13 17:14:25.606 13971 14004 I appium  : Waiting up to 10000ms for the device to idle
04-13 17:14:25.607 13971 14004 I appium  : The following attributes will be included to the page source: [text]
04-13 17:14:25.645 13971 14004 I appium  : Took 0ms to retrieve 0 matches for '//*[contains(@text,"BMW")]' XPath2 query
