--------- beginning of main
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: Voilatile gRPC failure INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header. [CONTEXT service_id=6 ]
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: jlsp: INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header.
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at gmjf.b(:com.google.android.gms@261233029@26.12.33 (190400-892550550):51)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at gocc.call(:com.google.android.gms@261233029@26.12.33 (190400-892550550):1001)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at java.util.concurrent.FutureTask.run(FutureTask.java:264)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at bhys.c(:com.google.android.gms@261233029@26.12.33 (190400-892550550):50)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at bhys.run(:com.google.android.gms@261233029@26.12.33 (190400-892550550):73)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1137)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:637)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at biej.run(:com.google.android.gms@261233029@26.12.33 (190400-892550550):8)
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: 	at java.lang.Thread.run(Thread.java:1012)
06-22 18:24:53.258  5707 15596 I FrewleTileCacheManagerV: (REDACTED) Fetched %d AP models from cache
06-22 18:24:53.269  5707  5774 I ActivityScheduler: nextTriggerTime: 13288921, in 116329ms, detectorType: 39, FULL_TYPE alarmWindowMillis: 80000
06-22 18:24:55.456   700   711 I ndroid.systemui: Background concurrent copying GC freed 350687(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 305us,56us total 101.560ms
06-22 18:24:55.653  2632  2632 W ThreadPoolForeg: type=1400 audit(0.0:1736): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:25:00.021  1425  1723 I AiAiEcho: Predicting[0]: 
06-22 18:25:00.022  1425  1723 I AiAiEcho: Ranked targets strategy: SORT, count: 0, ranking metadata: 
06-22 18:25:00.026  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface lockscreen with targets# 0
06-22 18:25:00.027  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface home with targets# 0
06-22 18:25:00.029  1425  1723 I AiAiEcho: #postPredictionTargets: Sending updates to UISurface media_data_manager with targets# 0
06-22 18:25:00.042   700   700 D SsMediaDataProvider: Forwarding Smartspace updates []
06-22 18:25:00.061   700   957 D EGL_emulation: app_time_stats: avg=60029.64ms min=60029.64ms max=60029.64ms count=1
06-22 18:25:00.175   700   711 I ndroid.systemui: Background concurrent copying GC freed 354602(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 160us,51us total 204.995ms
06-22 18:25:01.834   700   711 I ndroid.systemui: Background concurrent copying GC freed 367106(19MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 127us,84us total 129.223ms
06-22 18:25:01.900   700   957 D EGL_emulation: app_time_stats: avg=1836.26ms min=1836.26ms max=1836.26ms count=1
06-22 18:25:02.247   789   808 I rkstack.process: Background concurrent copying GC freed 22189(2365KB) AllocSpace objects, 0(0B) LOS objects, 49% free, 2485KB/4970KB, paused 211us,29us total 242.924ms
06-22 18:25:04.809  1527  1527 W ThreadPoolForeg: type=1400 audit(0.0:1737): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:25:05.333   700   711 I ndroid.systemui: Background concurrent copying GC freed 356287(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 58us,49us total 108.229ms
06-22 18:25:07.735   700   711 I ndroid.systemui: Background concurrent copying GC freed 360182(18MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 86us,484us total 114.511ms
06-22 18:25:10.449  5707  5707 W ThreadPoolForeg: type=1400 audit(0.0:1738): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:25:11.578   700   711 I ndroid.systemui: Background concurrent copying GC freed 351623(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 489us,43us total 104.380ms
06-22 18:25:19.790   700   711 I ndroid.systemui: Background concurrent copying GC freed 353697(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 87us,1.074ms total 117.459ms
06-22 18:25:21.894   700   957 D EGL_emulation: app_time_stats: avg=19993.87ms min=19993.87ms max=19993.87ms count=1
06-22 18:25:23.076   700   711 I ndroid.systemui: Background concurrent copying GC freed 362053(18MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 79us,472us total 121.563ms
06-22 18:25:25.638   500   509 I system_server: Background young concurrent copying GC freed 303407(23MB) AllocSpace objects, 5(100KB) LOS objects, 39% free, 31MB/51MB, paused 445us,185us total 193.716ms
06-22 18:25:25.681  2632  2632 W ThreadPoolForeg: type=1400 audit(0.0:1739): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:25:27.012   700   711 I ndroid.systemui: Background concurrent copying GC freed 366438(19MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 78us,57us total 110.313ms
--------- beginning of system
06-22 18:25:29.087   500   525 I UsageStatsService: User[0] Flushing usage stats to disk
06-22 18:25:29.377   700   711 I ndroid.systemui: Background concurrent copying GC freed 364333(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/32MB, paused 481us,22us total 106.328ms
06-22 18:25:32.402   700   711 I ndroid.systemui: Background concurrent copying GC freed 342474(17MB) AllocSpace objects, 1(20KB) LOS objects, 49% free, 16MB/33MB, paused 76us,464us total 114.179ms
06-22 18:25:34.813  1527  1527 W ThreadPoolForeg: type=1400 audit(0.0:1740): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:25:35.552   700   711 I ndroid.systemui: Background concurrent copying GC freed 364036(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/32MB, paused 73us,41us total 145.788ms
06-22 18:25:40.453  5707  5707 W ThreadPoolForeg: type=1400 audit(0.0:1741): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:25:40.675   315   315 E android.hardware.power.stats@1.0-service-mock: Failed to getEnergyData
06-22 18:25:41.913   700   957 D EGL_emulation: app_time_stats: avg=20018.81ms min=20018.81ms max=20018.81ms count=1
06-22 18:25:44.458   700   711 I ndroid.systemui: Background concurrent copying GC freed 336824(17MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 659us,460us total 104.682ms
06-22 18:25:49.110   700   959 D ControlsListingControllerImpl: Subscribing callback, service count: 0
06-22 18:25:49.129   700   959 D ControlsListingControllerImpl: Unsubscribing callback
06-22 18:25:49.179   500  2311 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10120; state: DISABLED
06-22 18:25:52.111  5707  5774 W Settings: Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
06-22 18:25:52.117  5707 15659 W SystemServiceRegistry: No service published for: wifirtt
06-22 18:25:52.941   500  2310 D WifiNl80211Manager: Scan result ready event
06-22 18:25:52.942   500  2310 D WifiNative: Scan result ready event
