"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266374","PC-1.2 Create physical card (Android)","Physical card creation, freezing and deletion - Individual","2026-09-22","passed","2026-09-22","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-09-21","unknown","","","","",""
"","37455","PO-1.5 Verify Sell available after buying (Android)","Orders (iOS/Android)","2026-09-21","broken","2026-09-21","","","",""
"","9225","SEPA-1.3 Verify transaction on Home (Android)","Bank Transfer - SEPA Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Add Funds","","2026-09-21","unknown","","","","",""
"","249125","[DRAFT] Invalid BIC/SWIFT blocks progress until corrected","Add Beneficiary - Another person (US) - Invalid BIC/SWIFT [DRAFT]","2026-09-21","skipped","2026-09-21","","","",""
"","3","ATU-1.4 Find the rule, delete it and verify absence","Auto Top-Up","2026-09-21","skipped","2026-09-21","","","",""
"","","""before all"" hook for Add Funds","","2026-09-21","unknown","","","","",""
"","42078","ATU-1.3 Save Auto Top-Up and return to Add Funds or Home","Auto Top-Up","2026-09-21","broken","2026-09-21","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-09-21","unknown","","","","",""
"","","""before all"" hook for Add Beneficiary - Another person","","2026-09-18","unknown","","","","",""
"","7491","HS-1.9 Verify recent activities","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Home Screen - Individual","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-09-21","unknown","","","","",""
"","16941","PT-1.2 Open 3.5% Simonds Farsons Cisk 2027 (Android)","Portfolio (iOS/Android)","2026-09-22","passed","2026-09-22","","","",""
"","","""before all"" hook for Portfolio (iOS/Android)","","2026-09-21","unknown","","","","",""
"","18009","HS-1.2 Verify balance","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","50579","CF-1.1 Freeze and unfreeze active physical card","Card freeze/unfreeze - Joint account","2026-09-22","passed","2026-09-22","","","",""
"","827","HS-1.6 Verify promo banners","Home Screen - Individual","2026-09-21","passed","2026-09-21","","","",""
"","22619","AB-USD-1.6 Select USD wallet / currency","Add Beneficiary - Another person (USD) - step by step","2026-09-21","passed","2026-09-21","","","",""
"","111269","AB-USD-1.11 Confirm OTP and verify beneficiary created successfully","Add Beneficiary - Another person (USD) - step by step","2026-09-21","broken","2026-09-21","","","",""
"","78289","HAS-1.1 Switch between available account types","Home Account Switch","2026-09-21","broken","2026-09-21","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Auto Top-Up","","2026-09-21","unknown","","","","",""
"","31480","AF-1.1 Open Add Funds from Home","Add Funds","2026-09-21","passed","2026-09-21","","","",""
"","","""before all"" hook for Add Funds","","2026-09-18","unknown","","","","",""
"","","""before all"" hook for Home Search - Individual","","2026-09-22","unknown","","","","",""
"","","""before all"" hook for Card freeze/unfreeze - Joint account","","2026-09-18","unknown","","","","",""
